name,aliases,use,precautions
Paracetamol,acetaminophen|paracip|dolo|crocin,Used to relieve mild to moderate pain and reduce fever.,Do not exceed the recommended dose. Avoid alcohol. Can harm the liver in high doses or with long-term heavy use.
Ibuprofen,brufen|advil|combiflam,"A pain reliever and anti-inflammatory used for pain, swelling, and fever.","Take with food to avoid stomach upset. Avoid if you have stomach ulcers, kidney problems, or are in late pregnancy."
Amoxicillin,amoxil|mox|novamox,An antibiotic used to treat bacterial infections.,Complete the full course even if you feel better. Not effective against viral infections like cold or flu. May cause allergic reactions in penicillin-sensitive people.
Azithromycin,azithral|zithromax|azee,An antibiotic used to treat a range of bacterial infections including respiratory and skin infections.,Complete the full course. May interact with heart medications. Avoid antacids within 2 hours of taking it.
Cetirizine,cetzine|zyrtec|alerid,"An antihistamine used to relieve allergy symptoms like sneezing, itching, and runny nose.",May cause drowsiness. Avoid alcohol. Use caution when driving or operating machinery.
Omeprazole,omez|prilosec|ocid,"Reduces stomach acid, used for acidity, heartburn, and ulcers.",Long-term use may affect nutrient absorption. Take before meals for best effect. Consult a doctor if used beyond 2 weeks without relief.
Metformin,glycomet|glucophage,Used to control blood sugar levels in type 2 diabetes.,Take with food to reduce stomach upset. Requires regular blood sugar monitoring. Not for type 1 diabetes.
Amlodipine,amlopres|norvasc|amlong,Used to treat high blood pressure and chest pain (angina).,May cause swelling in ankles or dizziness. Do not stop suddenly without consulting a doctor.
Metronidazole,flagyl|metrogyl,An antibiotic used to treat certain bacterial and parasitic infections.,"Avoid alcohol during and for 48 hours after treatment, it can cause severe reactions. Complete the full course."
Ranitidine,rantac|zinetac,"Reduces stomach acid, used for acidity and ulcers.",Consult a doctor for prolonged use. Some formulations have been recalled in various countries; check current safety notices.
Diclofenac,voveran|dicloflex,A pain reliever and anti-inflammatory used for joint and muscle pain.,"Take with food. Avoid if you have heart, kidney, or stomach ulcer conditions. Not recommended in late pregnancy."
Loratadine,claritin|lorfast,An antihistamine used for allergy relief with less drowsiness than older antihistamines.,Generally non-drowsy but avoid alcohol. Consult a doctor if pregnant or breastfeeding.
Pantoprazole,pantop|protonix,"Reduces stomach acid, used for acidity, GERD, and ulcers.",Best taken on an empty stomach before breakfast. Long-term use should be monitored by a doctor.
Aspirin,disprin|ecosprin,"Used for pain relief, fever, and in low doses to prevent blood clots.",Avoid in children with viral infections (risk of Reye's syndrome). Can increase bleeding risk. Take with food.
Domperidone,domstal|motilium,"Used to relieve nausea, vomiting, and bloating.",Avoid in heart rhythm conditions. Do not exceed recommended dose or duration.